"",,,Total Workers !! Estimate,Total Workers !! Margin of Error
geoid,destination_name,origin_name,b302100_e1,b302100_m1
C4300US3602536059,"Nassau County, New York","Delaware County, New York",4,+/-27
C4300US3602536061,"New York County, New York","Delaware County, New York",275,+/-90
C4300US3602536065,"Oneida County, New York","Delaware County, New York",70,+/-59
C4300US3602536067,"Onondaga County, New York","Delaware County, New York",25,+/-21
C4300US3602536071,"Orange County, New York","Delaware County, New York",55,+/-36
C4300US3602536077,"Otsego County, New York","Delaware County, New York","2,215",+/-285
C4300US3602536081,"Queens County, New York","Delaware County, New York",25,+/-24
C4300US3602536085,"Richmond County, New York","Delaware County, New York",10,+/-15
C4300US3602536087,"Rockland County, New York","Delaware County, New York",15,+/-15
C4300US3602536093,"Schenectady County, New York","Delaware County, New York",80,+/-53
C4300US3602536095,"Schoharie County, New York","Delaware County, New York",120,+/-66
C4300US3602536103,"Suffolk County, New York","Delaware County, New York",10,+/-11
C4300US3602536105,"Sullivan County, New York","Delaware County, New York",330,+/-117
C4300US3602536107,"Tioga County, New York","Delaware County, New York",10,+/-14
C4300US3602536111,"Ulster County, New York","Delaware County, New York",370,+/-118
C4300US3602536119,"Westchester County, New York","Delaware County, New York",25,+/-22
C4300US3602734003,"Bergen County, New Jersey","Dutchess County, New York",255,+/-106
C4300US3602734013,"Essex County, New Jersey","Dutchess County, New York",55,+/-38
C4300US3602734017,"Hudson County, New Jersey","Dutchess County, New York",95,+/-69
C4300US3602734021,"Mercer County, New Jersey","Dutchess County, New York",15,+/-26
C4300US3602734023,"Middlesex County, New Jersey","Dutchess County, New York",60,+/-67
C4300US3602734027,"Morris County, New Jersey","Dutchess County, New York",70,+/-66
C4300US3602734029,"Ocean County, New Jersey","Dutchess County, New York",40,+/-59
C4300US3602734031,"Passaic County, New Jersey","Dutchess County, New York",65,+/-54
C4300US3602734035,"Somerset County, New Jersey","Dutchess County, New York",10,+/-14
C4300US3602734037,"Sussex County, New Jersey","Dutchess County, New York",10,+/-16
C4300US3602736001,"Albany County, New York","Dutchess County, New York",625,+/-226
C4300US3602736005,"Bronx County, New York","Dutchess County, New York","1,760",+/-356
C4300US3602736021,"Columbia County, New York","Dutchess County, New York",500,+/-130
C4300US3602736027,"Dutchess County, New York","Dutchess County, New York","96,670","+/-1,791"
C4300US3602736039,"Greene County, New York","Dutchess County, New York",175,+/-99
C4300US3602736041,"Hamilton County, New York","Dutchess County, New York",4,+/-18
C4300US3602736043,"Herkimer County, New York","Dutchess County, New York",10,+/-18
C4300US3602736047,"Kings County, New York","Dutchess County, New York",730,+/-167
C4300US3602736055,"Monroe County, New York","Dutchess County, New York",30,+/-36
C4300US3602736059,"Nassau County, New York","Dutchess County, New York",180,+/-79
C4300US3602736061,"New York County, New York","Dutchess County, New York","6,590",+/-703
C4300US3602736067,"Onondaga County, New York","Dutchess County, New York",30,+/-31
C4300US3602736071,"Orange County, New York","Dutchess County, New York","6,160",+/-651
C4300US3602736079,"Putnam County, New York","Dutchess County, New York","5,675",+/-553
C4300US3602736081,"Queens County, New York","Dutchess County, New York",320,+/-129
C4300US3602736083,"Rensselaer County, New York","Dutchess County, New York",110,+/-63
C4300US3602736085,"Richmond County, New York","Dutchess County, New York",45,+/-74
C4300US3602736087,"Rockland County, New York","Dutchess County, New York",765,+/-194
C4300US3602736091,"Saratoga County, New York","Dutchess County, New York",85,+/-64
C4300US3602736099,"Seneca County, New York","Dutchess County, New York",4,+/-6
C4300US3602736103,"Suffolk County, New York","Dutchess County, New York",80,+/-47
C4300US3602736105,"Sullivan County, New York","Dutchess County, New York",140,+/-76
C4300US3602736111,"Ulster County, New York","Dutchess County, New York","5,085",+/-605
C4300US3602736115,"Washington County, New York","Dutchess County, New York",20,+/-30
C4300US3602736119,"Westchester County, New York","Dutchess County, New York","14,535",+/-937
C4300US3602934003,"Bergen County, New Jersey","Erie County, New York",45,+/-44
C4300US3602934013,"Essex County, New Jersey","Erie County, New York",15,+/-24
C4300US3602934035,"Somerset County, New Jersey","Erie County, New York",4,+/-17
C4300US3602936001,"Albany County, New York","Erie County, New York",90,+/-60
C4300US3602936003,"Allegany County, New York","Erie County, New York",55,+/-39
C4300US3602936009,"Cattaraugus County, New York","Erie County, New York","1,735",+/-324
C4300US3602936011,"Cayuga County, New York","Erie County, New York",45,+/-46
C4300US3602936013,"Chautauqua County, New York","Erie County, New York","1,840",+/-242
C4300US3602936015,"Chemung County, New York","Erie County, New York",45,+/-34
C4300US3602936017,"Chenango County, New York","Erie County, New York",10,+/-23
C4300US3602936021,"Columbia County, New York","Erie County, New York",10,+/-15
C4300US3602936027,"Dutchess County, New York","Erie County, New York",4,+/-3
C4300US3602936029,"Erie County, New York","Erie County, New York","428,270","+/-3,261"
C4300US3602936033,"Franklin County, New York","Erie County, New York",25,+/-25
C4300US3602936037,"Genesee County, New York","Erie County, New York","1,210",+/-235
C4300US3602936039,"Greene County, New York","Erie County, New York",20,+/-34
C4300US3602936043,"Herkimer County, New York","Erie County, New York",10,+/-16
C4300US3602936045,"Jefferson County, New York","Erie County, New York",15,+/-28
C4300US3602936047,"Kings County, New York","Erie County, New York",35,+/-33
C4300US3602936051,"Livingston County, New York","Erie County, New York",125,+/-64
C4300US3602936053,"Madison County, New York","Erie County, New York",45,+/-37
C4300US3602936055,"Monroe County, New York","Erie County, New York",815,+/-224
C4300US3602936059,"Nassau County, New York","Erie County, New York",55,+/-41
C4300US3602936061,"New York County, New York","Erie County, New York",125,+/-80
C4300US3602936063,"Niagara County, New York","Erie County, New York","14,900","+/-1,165"
C4300US3602936065,"Oneida County, New York","Erie County, New York",60,+/-98
C4300US3602936067,"Onondaga County, New York","Erie County, New York",75,+/-58
C4300US3602936069,"Ontario County, New York","Erie County, New York",150,+/-103
C4300US3602936071,"Orange County, New York","Erie County, New York",10,+/-22
C4300US3602936073,"Orleans County, New York","Erie County, New York",570,+/-173
C4300US3602936075,"Oswego County, New York","Erie County, New York",25,+/-30
C4300US3602936077,"Otsego County, New York","Erie County, New York",20,+/-23
C4300US3602936081,"Queens County, New York","Erie County, New York",135,+/-81
C4300US3602936085,"Richmond County, New York","Erie County, New York",35,+/-33
C4300US3602936087,"Rockland County, New York","Erie County, New York",40,+/-69
C4300US3602936089,"St. Lawrence County, New York","Erie County, New York",40,+/-39
C4300US3602936099,"Seneca County, New York","Erie County, New York",100,+/-57
C4300US3602936101,"Steuben County, New York","Erie County, New York",10,+/-14
C4300US3602936103,"Suffolk County, New York","Erie County, New York",55,+/-57
C4300US3602936109,"Tompkins County, New York","Erie County, New York",65,+/-49
C4300US3602936113,"Warren County, New York","Erie County, New York",30,+/-37
C4300US3602936117,"Wayne County, New York","Erie County, New York",20,+/-28
C4300US3602936119,"Westchester County, New York","Erie County, New York",55,+/-63
C4300US3602936121,"Wyoming County, New York","Erie County, New York","1,585",+/-329
C4300US3603136001,"Albany County, New York","Essex County, New York",80,+/-46
C4300US3603136019,"Clinton County, New York","Essex County, New York","1,535",+/-230
C4300US3603136021,"Columbia County, New York","Essex County, New York",4,+/-11
C4300US3603136031,"Essex County, New York","Essex County, New York","12,345",+/-604
C4300US3603136033,"Franklin County, New York","Essex County, New York",955,+/-162
C4300US3603136041,"Hamilton County, New York","Essex County, New York",50,+/-23
C4300US3603136061,"New York County, New York","Essex County, New York",45,+/-46
C4300US3603136081,"Queens County, New York","Essex County, New York",4,+/-27
C4300US3603136083,"Rensselaer County, New York","Essex County, New York",10,+/-17
C4300US3603136085,"Richmond County, New York","Essex County, New York",4,+/-9
C4300US3603136089,"St. Lawrence County, New York","Essex County, New York",85,+/-55
C4300US3603136091,"Saratoga County, New York","Essex County, New York",130,+/-90
C4300US3603136093,"Schenectady County, New York","Essex County, New York",10,+/-15
C4300US3603136095,"Schoharie County, New York","Essex County, New York",4,+/-2
C4300US3603136113,"Warren County, New York","Essex County, New York",490,+/-155
C4300US3603136115,"Washington County, New York","Essex County, New York",165,+/-90
C4300US3603136119,"Westchester County, New York","Essex County, New York",4,+/-27
C4300US3603334027,"Morris County, New Jersey","Franklin County, New York",4,+/-27
C4300US3603336001,"Albany County, New York","Franklin County, New York",55,+/-56
C4300US3603336019,"Clinton County, New York","Franklin County, New York",680,+/-145
C4300US3603336031,"Essex County, New York","Franklin County, New York","1,405",+/-214
C4300US3603336033,"Franklin County, New York","Franklin County, New York","14,700",+/-623
C4300US3603336041,"Hamilton County, New York","Franklin County, New York",50,+/-32
C4300US3603336045,"Jefferson County, New York","Franklin County, New York",20,+/-29
C4300US3603336049,"Lewis County, New York","Franklin County, New York",10,+/-14
C4300US3603336055,"Monroe County, New York","Franklin County, New York",10,+/-12
C4300US3603336061,"New York County, New York","Franklin County, New York",4,+/-3
C4300US3603336065,"Oneida County, New York","Franklin County, New York",15,+/-17
C4300US3603336067,"Onondaga County, New York","Franklin County, New York",10,+/-16
C4300US3603336089,"St. Lawrence County, New York","Franklin County, New York",975,+/-193
C4300US3603336091,"Saratoga County, New York","Franklin County, New York",20,+/-23
C4300US3603336113,"Warren County, New York","Franklin County, New York",4,+/-8
C4300US3603336115,"Washington County, New York","Franklin County, New York",4,+/-1
C4300US3603534023,"Middlesex County, New Jersey","Fulton County, New York",4,+/-30
C4300US3603536001,"Albany County, New York","Fulton County, New York","1,245",+/-251
C4300US3603536005,"Bronx County, New York","Fulton County, New York",4,+/-30
C4300US3603536007,"Broome County, New York","Fulton County, New York",55,+/-60
C4300US3603536019,"Clinton County, New York","Fulton County, New York",75,+/-110
C4300US3603536025,"Delaware County, New York","Fulton County, New York",4,+/-13
C4300US3603536027,"Dutchess County, New York","Fulton County, New York",20,+/-26
C4300US3603536035,"Fulton County, New York","Fulton County, New York","14,515",+/-743
C4300US3603536039,"Greene County, New York","Fulton County, New York",10,+/-19
C4300US3603536041,"Hamilton County, New York","Fulton County, New York",95,+/-44
C4300US3603536043,"Herkimer County, New York","Fulton County, New York",450,+/-120
C4300US3603536045,"Jefferson County, New York","Fulton County, New York",4,+/-15
C4300US3603536053,"Madison County, New York","Fulton County, New York",4,+/-3
C4300US3603536055,"Monroe County, New York","Fulton County, New York",4,+/-6
C4300US3603536057,"Montgomery County, New York","Fulton County, New York","4,055",+/-359
C4300US3603536059,"Nassau County, New York","Fulton County, New York",4,+/-30
C4300US3603536065,"Oneida County, New York","Fulton County, New York",50,+/-35
C4300US3603536067,"Onondaga County, New York","Fulton County, New York",35,+/-25
C4300US3603536077,"Otsego County, New York","Fulton County, New York",75,+/-53
C4300US3603536083,"Rensselaer County, New York","Fulton County, New York",115,+/-74
C4300US3603536091,"Saratoga County, New York","Fulton County, New York","1,380",+/-264
C4300US3603536093,"Schenectady County, New York","Fulton County, New York","1,500",+/-267
C4300US3603536095,"Schoharie County, New York","Fulton County, New York",70,+/-51
C4300US3603536111,"Ulster County, New York","Fulton County, New York",35,+/-35
C4300US3603536113,"Warren County, New York","Fulton County, New York",75,+/-43
C4300US3603536115,"Washington County, New York","Fulton County, New York",15,+/-25
C4300US3603536119,"Westchester County, New York","Fulton County, New York",4,+/-30
C4300US3603736003,"Allegany County, New York","Genesee County, New York",15,+/-22
C4300US3603736009,"Cattaraugus County, New York","Genesee County, New York",15,+/-22
C4300US3603736011,"Cayuga County, New York","Genesee County, New York",25,+/-42
C4300US3603736019,"Clinton County, New York","Genesee County, New York",4,+/-8
C4300US3603736029,"Erie County, New York","Genesee County, New York","3,135",+/-419
